cluster_reduced,Mean households income,Population Density,URBAN POP_PCT,stations_per_100k,ports_per_100k,stations_per_1k_reg,ports_per_1k_reg,registrations_per_1k_pop,log1p_Population,log1p_Registration Count
0,76448.8,164.4952,68.692,15.308097075225616,42.34042404253306,35.72202270369635,98.5781852728254,4.44876742558995,15.115994796636404,9.639647298194431
1,89618.88888888889,331.73833333333334,86.64444444444445,28.536983162766134,85.6726588855723,23.80383100928644,72.2305056708737,12.66633833327986,15.909359631981355,11.489504531053363
2,111000.0,11130.69,100.0,46.58937908664306,159.83966221235087,39.424745846764196,135.25911232333252,11.817293450090029,13.433605714265124,8.995536944936974
3,80465.0,43.42,36.85,57.76963042095301,147.6206008743477,77.09477047599742,191.97121256709664,8.664352086243001,13.767311884252255,8.935157003188475
4,70274.0,62.574,54.220000000000006,12.821294715769472,35.69620049101675,81.49541198374803,227.87776101149592,1.554146949564099,13.973162683824,7.487738335067164
