State,cluster,cluster_ward,pca_1,pca_2
Alabama,1,2,-1.5789842253598885,-1.4577529151586615
Alaska,1,2,-1.7910592199949997,-0.1695327726942265
Arizona,2,1,2.0296730105603853,-0.989072467714295
Arkansas,1,2,-2.5161441006257688,-0.7849183485914155
California,2,4,5.835654815636527,0.9351254983392764
Colorado,2,4,2.429840967517814,1.6350090825565724
Connecticut,2,4,1.1907643294903745,1.981174732032633
Delaware,1,2,0.3790423504037351,0.2593861871814548
District of Columbia,3,3,3.0429441065929286,5.512639252984511
Florida,2,1,2.73568190156663,-1.8619035420805181
Georgia,2,1,1.3536957182319902,-1.138649548700078
Hawaii,2,4,1.8616484928571488,0.6325981692536088
Idaho,1,2,-1.2806103037721284,-0.9791574754145922
Illinois,2,1,1.9385013932180089,-1.6363305907320103
Indiana,1,2,-0.3140309977464639,-1.5852684494957934
Iowa,1,2,-2.1633781699606636,-0.08965563963896274
Kansas,1,2,-1.6721187055962405,0.2619567812505751
Kentucky,1,2,-1.5584503255089368,-1.7688670610302488
Louisiana,1,2,-1.3759526159208768,-1.982600297939669
Maine,0,0,-2.603950795030067,3.0694720132545767
Maryland,2,1,2.805049098936459,0.34210989941117254
Massachusetts,2,4,2.44050361201629,3.481835212573522
Michigan,1,2,-0.11272941771772131,-0.7002392521143292
Minnesota,1,2,0.13219415185783331,-0.4920443815024361
Mississippi,4,2,-3.221975061827745,-1.0178758983545666
Missouri,1,2,-0.8929482951970533,-0.12395108094424892
Montana,1,2,-2.1459523654355404,-0.3830088517158338
Nebraska,1,2,-1.8069632219126668,0.16252679377308069
Nevada,2,1,2.4842252683060075,-0.905786039646485
New Hampshire,1,2,-0.23864136412969147,0.4604416785657242
New Jersey,2,1,3.3161270615832676,-0.745744842364321
New Mexico,1,2,-1.3829853628498479,-0.2874231932499667
New York,2,1,2.257334214705581,-0.3277955934326772
North Carolina,1,2,0.36594677169129053,-1.464931490464697
North Dakota,4,0,-5.3856081742013915,1.8682009380989393
Ohio,1,2,-0.21440976262009975,-1.127928943730614
Oklahoma,1,1,-0.05353618412095304,-2.2712435419959984
Oregon,2,4,1.6577640361242338,0.963178173597678
Pennsylvania,1,2,0.7285786482551465,-1.3799400884854387
Rhode Island,1,2,-0.6039425780348933,1.5864940981324376
South Carolina,1,2,-0.4947966232127808,-1.486567088284
South Dakota,4,0,-3.8579052493879376,0.7613215860407184
Tennessee,1,2,-0.3158186236449719,-1.1362720013030263
Texas,2,1,2.0288673353371887,-2.3688667220728603
Utah,2,4,1.6051888683801776,0.6009307496095192
Vermont,0,0,-0.9913369925662423,4.9543627682683855
Virginia,2,1,1.7995255867021156,-0.5739220584541204
Washington,2,4,3.1334308858247155,0.6673285381561125
West Virginia,4,2,-3.4571569289999524,-0.25934788402393
Wisconsin,1,2,-0.7485162574195232,-1.0151397330526688
Wyoming,4,0,-4.772280703000808,2.375645641302194
